id;nome;matricula;senha;active;grupo_id
15;lucas;2342134441;senhateste;True;1
16;bruna;235546431;senhateste;True;1
17;caslos;244644461;senhateste;True;1
18;João;212791561;senhateste;True;1
19;Nathan;212306213;senhateste;True;1
20;Diego;255615668;senhateste;True;1
21;Sabrina;101947293;senhateste;True;1
22;Henrique;163716493;senhateste;True;1
23;Mariana;142046906;senhateste;True;1
24;Olivia;22858642;senhateste;True;1
25;Thiago;55482248;senhateste;True;1
26;Carlos;77657620;senhateste;True;1
27;Ana;233141753;senhateste;True;1
28;João;260254606;senhateste;True;1
29;Bruna;256804938;senhateste;True;1
30;João;139517127;senhateste;True;1
31;Paulo;189794975;senhateste;True;1
32;João;232398592;senhateste;True;1
33;Mariana;157295405;senhateste;True;1
34;Rafael;261631599;senhateste;True;1
35;Eduarda;198261147;senhateste;True;1
36;Nathan;253703083;senhateste;True;1
37;Paulo;183514849;senhateste;True;1
38;Carlos;89031592;senhateste;True;1
39;Ana;181506225;senhateste;True;1
40;Bruna;226975762;senhateste;True;1
41;Sabrina;261620352;senhateste;True;1
42;Lucas;120784613;senhateste;True;1
43;João;101750622;senhateste;True;1
44;Mariana;194173065;senhateste;True;1
45;Rafael;294974251;senhateste;True;1
46;Isabela;188990732;senhateste;True;1
47;Quezia;162495915;senhateste;True;1
48;Paulo;65945829;senhateste;True;1
49;Karen;65936279;senhateste;True;1
50;Eduarda;164625019;senhateste;True;1
51;Mariana;157998311;senhateste;True;1
52;Nathan;251144097;senhateste;True;1
53;Diego;106796896;senhateste;True;1
54;Felipe;299285988;senhateste;True;1
55;Paulo;179750318;senhateste;True;1
56;Sabrina;188904646;senhateste;True;1
57;Eduarda;36203145;senhateste;True;1
58;Karen;182839611;senhateste;True;1
59;Rafael;137012374;senhateste;True;1
60;Isabela;181727716;senhateste;True;1
61;Sabrina;244497742;senhateste;True;1
62;Eduarda;82035131;senhateste;True;1
63;Carlos;123953620;senhateste;True;1
64;Isabela;93561246;senhateste;True;1
65;Felipe;204601186;senhateste;True;1
66;Paulo;108750962;senhateste;True;1
67;Sabrina;28448942;senhateste;True;1
68;Lucas;171568558;senhateste;True;1
69;Karen;198466633;senhateste;True;1
70;Karen;133892128;senhateste;True;1
71;Bruna;212621592;senhateste;True;1
72;Quezia;187596938;senhateste;True;1
73;Thiago;117977421;senhateste;True;1
74;Olivia;121490703;senhateste;True;1
75;Quezia;166010512;senhateste;True;1
76;Karen;200413230;senhateste;True;1
77;Mariana;246647891;senhateste;True;1
78;Thiago;92865622;senhateste;True;1
79;Lucas;289826988;senhateste;True;1
80;Lucas;259401275;senhateste;True;1
81;Karen;251656391;senhateste;True;1
82;Diego;100484613;senhateste;True;1
83;Ana;98029862;senhateste;True;1
84;Isabela;220053277;senhateste;True;1
